"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","536","Deberia loguear correctamente con el usuario: standard","firefox","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","320","Login inválido muestra mensaje de error","chromium","2026-01-04","passed","2026-01-04","Login - Pruebas Negativas","Login/login-negative.spec.ts","",""
"","1025","No permitir acceder al carrito sin haber hecho login","webkit","2026-01-04","passed","2026-01-04","Carrito - Pruebas Negativas","Cart/cart-negative.spec.ts","",""
"","555","Agregar un producto al carro","chromium","2026-01-04","passed","2026-01-04","Carrito - Agregar productos","Cart/cart-add.spec.ts","",""
"","383","get started link","chromium","2026-01-04","passed","2026-01-04","","example.spec.ts","",""
"","1434","No avanzar al checkout-step-two si falta postalCode","webkit","2026-01-04","passed","2026-01-04","Checkout - No permitir continuar si falta algun dato del dormulario","checkout/checkout-negative.spec.ts","",""
"","1080","Login exitoso con usuario standard","webkit","2026-01-04","passed","2026-01-04","Login - Prueba Positiva","Login/login.spec.ts","",""
"","1198","E2E flow: User buys a product successfully","firefox","2026-01-04","passed","2026-01-04","","purchase-flow.spec.ts","",""
"","547","has title","firefox","2026-01-04","passed","2026-01-04","","example.spec.ts","",""
"","485","Cancelar checkout-step-one y debe regresar al carrito","chromium","2026-01-04","passed","2026-01-04","Pruebas Checkout","checkout/checkout.spec.ts","",""
"","505","Intento de login con usuario bloqueado","firefox","2026-01-04","passed","2026-01-04","Login - Prueba Positiva","Login/login.spec.ts","",""
"","519","Deberia loguear correctamente con el usuario: visual","firefox","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","1035","Intento de login con usuario bloqueado","webkit","2026-01-04","passed","2026-01-04","Login - Prueba Positiva","Login/login.spec.ts","",""
"","599","Agregar 2 prodcutos al carrito","chromium","2026-01-04","passed","2026-01-04","Carrito - Agregar productos","Cart/cart-add.spec.ts","",""
"","535","Login exitoso con usuario standard","firefox","2026-01-04","passed","2026-01-04","Login - Prueba Positiva","Login/login.spec.ts","",""
"","898","No permitir acceder al checkout overview directamente desde URL","webkit","2026-01-04","passed","2026-01-04","Checkout - Pruebas Negativas","checkout/checkout-negative.spec.ts","",""
"","1468","continuar al checkout-step-two","webkit","2026-01-04","passed","2026-01-04","Pruebas Checkout","checkout/checkout.spec.ts","",""
"","1328","Interntar eliminar un producto que NO existe","webkit","2026-01-04","passed","2026-01-04","Carrito - Pruebas Negativas","Cart/cart-negative.spec.ts","",""
"","960","No avanzar al checkout-step-two si falta nombre","firefox","2026-01-04","passed","2026-01-04","Checkout - No permitir continuar si falta algun dato del dormulario","checkout/checkout-negative.spec.ts","",""
"","608","No avanzar al checkout-step-two si falta postalCode","chromium","2026-01-04","passed","2026-01-04","Checkout - No permitir continuar si falta algun dato del dormulario","checkout/checkout-negative.spec.ts","",""
"","372","Deberia loguear correctamente con el usuario: error","chromium","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","461","No permitir acceder al checkout overview directamente desde URL","firefox","2026-01-04","passed","2026-01-04","Checkout - Pruebas Negativas","checkout/checkout-negative.spec.ts","",""
"","6147","Deberia loguear correctamente con el usuario: glitch","webkit","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","888","continuar al checkout-step-two","firefox","2026-01-04","passed","2026-01-04","Pruebas Checkout","checkout/checkout.spec.ts","",""
"","786","get started link","firefox","2026-01-04","passed","2026-01-04","","example.spec.ts","",""
"","608","No avanzar al checkout-step-two si falta nombre","chromium","2026-01-04","passed","2026-01-04","Checkout - No permitir continuar si falta algun dato del dormulario","checkout/checkout-negative.spec.ts","",""
"","907","Volver al inventario desde el carrito","firefox","2026-01-04","passed","2026-01-04","Carrito - Agregar productos","Cart/cart-add.spec.ts","",""
"","605","No avanzar al checkout-step-two si falta apellido","chromium","2026-01-04","passed","2026-01-04","Checkout - No permitir continuar si falta algun dato del dormulario","checkout/checkout-negative.spec.ts","",""
"","620","continuar del overview al confirmation screen","chromium","2026-01-04","passed","2026-01-04","Pruebas Checkout","checkout/checkout.spec.ts","",""
"","853","No avanzar al checkout-step-two si falta postalCode","firefox","2026-01-04","passed","2026-01-04","Checkout - No permitir continuar si falta algun dato del dormulario","checkout/checkout-negative.spec.ts","",""
"","1139","Deberia loguear correctamente con el usuario: standard","webkit","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","379","Login exitoso con usuario standard","chromium","2026-01-04","passed","2026-01-04","Login - Prueba Positiva","Login/login.spec.ts","",""
"","1037","Login inválido muestra mensaje de error","webkit","2026-01-04","passed","2026-01-04","Login - Pruebas Negativas","Login/login-negative.spec.ts","",""
"","539","continuar al checkout-step-two","chromium","2026-01-04","passed","2026-01-04","Pruebas Checkout","checkout/checkout.spec.ts","",""
"","1560","cancelar desde overview regresa al inventory screen","webkit","2026-01-04","passed","2026-01-04","Checkout - Pruebas Negativas","checkout/checkout-negative.spec.ts","",""
"","535","Deberia loguear correctamente con el usuario: problem","firefox","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","1068","Deberia loguear correctamente con el usuario: problem","webkit","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","1807","Agregar 2 prodcutos al carrito","firefox","2026-01-04","passed","2026-01-04","Carrito - Agregar productos","Cart/cart-add.spec.ts","",""
"","555","No permitir continuar al checkout-step-two con el formulario vacio","chromium","2026-01-04","passed","2026-01-04","Checkout - Pruebas Negativas","checkout/checkout-negative.spec.ts","",""
"","350","Intento de login con usuario bloqueado","chromium","2026-01-04","passed","2026-01-04","Login - Prueba Positiva","Login/login.spec.ts","",""
"","1476","Llenar formulario y cancelar checkout-step-one - debe regresar al carrito","webkit","2026-01-04","passed","2026-01-04","Pruebas Checkout","checkout/checkout.spec.ts","",""
"","1409","Cancelar checkout-step-one y debe regresar al carrito","webkit","2026-01-04","passed","2026-01-04","Pruebas Checkout","checkout/checkout.spec.ts","",""
"","503","Llenar formulario y cancelar checkout-step-one - debe regresar al carrito","chromium","2026-01-04","passed","2026-01-04","Pruebas Checkout","checkout/checkout.spec.ts","",""
"","700","Interntar eliminar un producto que NO existe","firefox","2026-01-04","passed","2026-01-04","Carrito - Pruebas Negativas","Cart/cart-negative.spec.ts","",""
"","498","Login inválido muestra mensaje de error","firefox","2026-01-04","passed","2026-01-04","Login - Pruebas Negativas","Login/login-negative.spec.ts","",""
"","1077","Deberia loguear correctamente con el usuario: error","webkit","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","5956","Deberia loguear correctamente con el usuario: glitch","firefox","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","612","No permitir acceder al carrito sin haber hecho login","firefox","2026-01-04","passed","2026-01-04","Carrito - Pruebas Negativas","Cart/cart-negative.spec.ts","",""
"","371","No permitir acceder al carrito sin haber hecho login","chromium","2026-01-04","passed","2026-01-04","Carrito - Pruebas Negativas","Cart/cart-negative.spec.ts","",""
"","5356","Deberia loguear correctamente con el usuario: glitch","chromium","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","505","Remover producto desde el carrito","chromium","2026-01-04","passed","2026-01-04","Carrito - Agregar productos","Cart/cart-add.spec.ts","",""
"","1064","Deberia loguear correctamente con el usuario: visual","webkit","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","767","Remover producto desde el carrito","firefox","2026-01-04","passed","2026-01-04","Carrito - Agregar productos","Cart/cart-add.spec.ts","",""
"","1475","No avanzar al checkout-step-two si falta nombre","webkit","2026-01-04","passed","2026-01-04","Checkout - No permitir continuar si falta algun dato del dormulario","checkout/checkout-negative.spec.ts","",""
"","1432","No avanzar al checkout-step-two si falta apellido","webkit","2026-01-04","passed","2026-01-04","Checkout - No permitir continuar si falta algun dato del dormulario","checkout/checkout-negative.spec.ts","",""
"","464","Interntar eliminar un producto que NO existe","chromium","2026-01-04","passed","2026-01-04","Carrito - Pruebas Negativas","Cart/cart-negative.spec.ts","",""
"","680","cancelar desde overview regresa al inventory screen","chromium","2026-01-04","passed","2026-01-04","Checkout - Pruebas Negativas","checkout/checkout-negative.spec.ts","",""
"","587","Deberia loguear correctamente con el usuario: error","firefox","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","543","Volver al inventario desde el carrito","chromium","2026-01-04","passed","2026-01-04","Carrito - Agregar productos","Cart/cart-add.spec.ts","",""
"","429","Deberia loguear correctamente con el usuario: visual","chromium","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","354","Deberia loguear correctamente con el usuario: problem","chromium","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","971","continuar del overview al confirmation screen","firefox","2026-01-04","passed","2026-01-04","Pruebas Checkout","checkout/checkout.spec.ts","",""
"","311","No permitir acceder al checkout overview directamente desde URL","chromium","2026-01-04","passed","2026-01-04","Checkout - Pruebas Negativas","checkout/checkout-negative.spec.ts","",""
"","898","No avanzar al checkout-step-two si falta apellido","firefox","2026-01-04","passed","2026-01-04","Checkout - No permitir continuar si falta algun dato del dormulario","checkout/checkout-negative.spec.ts","",""
"","1365","get started link","webkit","2026-01-04","passed","2026-01-04","","example.spec.ts","",""
"","1195","cancelar desde overview regresa al inventory screen","firefox","2026-01-04","passed","2026-01-04","Checkout - Pruebas Negativas","checkout/checkout-negative.spec.ts","",""
"","1889","Agregar 2 prodcutos al carrito","webkit","2026-01-04","passed","2026-01-04","Carrito - Agregar productos","Cart/cart-add.spec.ts","",""
"","346","Deberia loguear correctamente con el usuario: standard","chromium","2026-01-04","passed","2026-01-04","Login exitoso con multiples usuarios","Login/login.spec.ts","",""
"","773","Agregar un producto al carro","firefox","2026-01-04","passed","2026-01-04","Carrito - Agregar productos","Cart/cart-add.spec.ts","",""
"","1453","No permitir continuar al checkout-step-two con el formulario vacio","webkit","2026-01-04","passed","2026-01-04","Checkout - Pruebas Negativas","checkout/checkout-negative.spec.ts","",""
"","943","has title","webkit","2026-01-04","passed","2026-01-04","","example.spec.ts","",""
"","1333","Agregar un producto al carro","webkit","2026-01-04","passed","2026-01-04","Carrito - Agregar productos","Cart/cart-add.spec.ts","",""
"","241","has title","chromium","2026-01-04","passed","2026-01-04","","example.spec.ts","",""
"","839","No permitir continuar al checkout-step-two con el formulario vacio","firefox","2026-01-04","passed","2026-01-04","Checkout - Pruebas Negativas","checkout/checkout-negative.spec.ts","",""
"","1391","Remover producto desde el carrito","webkit","2026-01-04","passed","2026-01-04","Carrito - Agregar productos","Cart/cart-add.spec.ts","",""
"","1902","E2E flow: User buys a product successfully","webkit","2026-01-04","passed","2026-01-04","","purchase-flow.spec.ts","",""
"","1357","Volver al inventario desde el carrito","webkit","2026-01-04","passed","2026-01-04","Carrito - Agregar productos","Cart/cart-add.spec.ts","",""
"","1515","continuar del overview al confirmation screen","webkit","2026-01-04","passed","2026-01-04","Pruebas Checkout","checkout/checkout.spec.ts","",""
"","870","Cancelar checkout-step-one y debe regresar al carrito","firefox","2026-01-04","passed","2026-01-04","Pruebas Checkout","checkout/checkout.spec.ts","",""
"","803","E2E flow: User buys a product successfully","chromium","2026-01-04","passed","2026-01-04","","purchase-flow.spec.ts","",""
"","868","Llenar formulario y cancelar checkout-step-one - debe regresar al carrito","firefox","2026-01-04","passed","2026-01-04","Pruebas Checkout","checkout/checkout.spec.ts","",""
